Study,Sources,Serum,Number of sera Preprint,Number of sera Publication,Variant,Titers Preprint,Titers Publication,,
Chen,"https://doi.org/10.1101/2021.12.17.21267961 
 https://doi.org/10.1038/s41421-022-00375-5",2*CoronaVac + CoronaVac (1m post 3rd dose),292,292,WT,294.85,294.85,,
,,,,,BA.1,14.66,14.66,,
Gao,"https://doi.org/10.1101/2021.12.16.472391 
 https://doi.org/10.1056/nejmc2119426",2*CoronaVac + CoronaVac,16,16,WT,284,284,,
,,,,,BA.1,56,56,,
,,WT convalescent,16,16,WT,193,193,,
,,,,,BA.1,11.1,11.1,,
Klein,"https://www.biorxiv.org/content/10.1101/2022.04.06.487257v2.full.pdf 
 https://doi.org/10.1016/j.chom.2022.07.002",2*Pfizer,30,30,WT,561,561,,
,,,,,BA.1,11,11,,
,,,,,BA.1.1,8,8,,
,,,,,BA.2,15,15,,
,,,,,BA.2.12.1,17,17,,
,,,,,BA.4/5,11,11,,
,,3*Pfizer,30,30,WT,4773,4773,,
,,,,,BA.1,648,648,,
,,,,,BA.1.1,557,557,,
,,,,,BA.2,582,582,,
,,,,,BA.2.12.1,465,465,,
,,,,,BA.4/5,312,312,,
,,WT conv,20,20,WT,264,264,,
,,,,,BA.1,6,6,,
,,,,,BA.1.1,5,5,,
,,,,,BA.2,11,11,,
,,,,,BA.2.12.1,12,12,,
,,,,,BA.4/5,11,11,,
,,WT conv + Pfizer,20,20,WT,10671,10671,,
,,,,,BA.1,1674,1674,,
,,,,,BA.1.1,1521,1521,,
,,,,,BA.2,2103,2103,,
,,,,,BA.2.12.1,1946,1946,,
,,,,,BA.4/5,1456,1456,,
Kurhade/Shi,"https://doi.org/10.1101/2022.06.05.494889 
 https://doi.org/10.1080/22221751.2022.2099305",3*Pfizer (1m post 3rd dose),22,22,WT,1335,1335,,
,,,,,BA.1,393,393,,
,,,,,BA.2,298,298,,
,,,,,BA.2.12.1,315,315,,
,,,,,BA.3,216,216,,
,,,,,BA.4/5,103,103,,
,,BA.1 conv,20,20,WT,15,15,,
,,,,,BA.1,430,430,,
,,,,,BA.2,110,110,,
,,,,,BA.2.12.1,109,109,,
,,,,,BA.3,102,102,,
,,,,,BA.4/5,25,25,,
Screaton,https://www.cell.com/cell/pdf/S0092-8674(21)01578-6.pdf?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867421015786%3Fshowall%3Dtrue,2*AZ (28d post 2nd dose),41,41,WT,390,390,,
,,,,,BA.1,21,21,,
,,2*AZ + AZ (28d post 3rd dose),41,41,WT,726,726,,
,,,,,BA.1,57,57,,
,,2*Pfizer (28d post 2nd dose),20,20,WT,1993,1993,,
,,,,,BA.1,19,19,,
,,2*Pfizer (6m post 2nd dose),20,20,WT,413,413,,
,,,,,BA.1,13,13,,
,,2*Pfizer + Pfizer (28d post 3rd dose),20,20,WT,9219,9219,,
,,,,,BA.1,649,649,,
,,Alpha convalescent (18d post inf),18,18,WT,1313,1313,,
,,,,,BA.1,39,39,,
,,Beta convalescent (61d post inf),14,14,WT,327,327,,
